max_rendimiento;tipo_transmision;tipo_motor;tipo_combustible;tipo_drivetrain
27;8-Speed A/T;3.0L I6 24V GDI DOHC Turbo;Gasoline;AWD
40;Automatic CVT;2.0L I4 16V MPFI DOHC;Gasoline;4WD
27;7-Speed Automatic with Auto-Shift;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
30;9-Speed A/T;4.0L V8 32V GDI DOHC Twin Turbo;Gasoline;AWD
23;A/T;V6;Gasoline;4WD
27;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
33;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
33;9-Speed A/T;3.0L V6 24V GDI DOHC Twin Turbo;Gasoline;AWD
22;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
33;8-Speed A/T;4.6L V8 32V PDI DOHC;Gasoline;AWD
23;6-Speed A/T;V6 Cylinder Engine;Gasoline;AWD
30;8-Speed Automatic with Auto-Shift;2.0L I4 16V GDI DOHC Turbo;Gasoline;4WD
39;8-Speed A/T;2.5L I4 16V PDI DOHC;Gasoline;4WD
24;Automatic CVT;2.0L H4 16V GDI DOHC;Gasoline;AWD
33;Automatic CVT;2.0L H4 16V GDI DOHC;Gasoline;AWD
24;8-Speed A/T;6.4L V8 16V MPFI OHV;Gasoline;RWD
24;8-Speed A/T;6.4L V8 16V MPFI OHV;Gasoline;RWD
33;Automatic CVT;2.0L H4 16V GDI DOHC;Gasoline;AWD
33;Automatic CVT;2.0L H4 16V GDI DOHC;Gasoline;AWD
33;7-Speed Automatic with Auto-Shift;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
19;5-Speed A/T;4.0L V6 24V MPFI DOHC;Gasoline;4WD
22;6-Speed A/T;5.0L V8 32V MPFI DOHC Flexible Fuel;Flexible Fuel;RWD
27;7-Speed Automatic with Auto-Shift;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
27;8-Speed A/T;2.0L I4 16V GDI DOHC Turbo;Gasoline;AWD
29;6-Speed A/T;2.5L I4 16V GDI DOHC;Gasoline;AWD
25;8-Speed A/T;5.0L V8 32V PDI DOHC;Gasoline;RWD
23;8-Speed A/T;5.7L V8 16V MPFI OHV;Gasoline;RWD
30;Automatic CVT;2.5L I4 16V MPFI DOHC;Gasoline;AWD
34;6-Speed A/T;3.5L V6 24V MPFI SOHC;Gasoline;4WD
25;8-Speed A/T;6.2L V8 16V GDI OHV;Gasoline;RWD
32;8-Speed A/T;3.0L I6 24V GDI DOHC Turbo;Gasoline;AWD
27;8-Speed A/T;3.5L V6 24V PDI DOHC;Gasoline;4WD
38;6-Speed A/T;1.4L I4 16V GDI DOHC Turbo;Gasoline;4WD
27;9-Speed A/T;3.6L V6 24V GDI DOHC;Gasoline;4WD
28;Automatic CVT;3.5L V6 24V MPFI DOHC;Gasoline;4WD
29;8-Speed A/T;3.6L V6 24V GDI DOHC;Gasoline;AWD
22;Automatic CVT;2.5L I4 16V MPFI DOHC;Gasoline;AWD
22;6-Speed A/T;5.3L V8 16V GDI OHV;Gasoline;4WD
37;A/T;2.0L I-4 DOHC 16-Valve i-VTEC;Gasoline;4WD
32;9-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;AWD
26;6-Speed A/T;2.0L I4 16V GDI DOHC;Gasoline;AWD
26;9-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;AWD
26;8-Speed A/T;4.4L V8 32V GDI DOHC Twin Turbo;Gasoline;AWD
26;9-Speed A/T;3.6L V6 24V GDI DOHC;Gasoline;4WD
26;9-Speed A/T;3.6L V6 24V GDI DOHC;Gasoline;4WD
21;5-Speed A/T;3.6L V6 24V MPFI DOHC;Gasoline;4WD
26;9-Speed A/T;3.6L V6 24V GDI DOHC;Gasoline;4WD
19;8-Speed A/T;2.5L I4 16V PDI DOHC Turbo;Gasoline;AWD
25;8-Speed A/T;2.5L I4 16V PDI DOHC Turbo;Gasoline;RWD
20;10-Speed A/T;5.3L V8 16V GDI OHV;Gasoline;4WD
25;9-Speed A/T;3.5L V6 24V GDI SOHC;Gasoline;AWD
26;8-Speed A/T;3.0L I6 24V GDI DOHC Turbo;Gasoline;AWD
28;5-Speed A/T;3.5L V6 24V MPFI DOHC;Gasoline;4WD
