vin;estado;numero_millas;color_interior;color_exterior;precio_rel;value_for_money_rating_rel;consumer_rating;consumer_reviews;comfort_rating;reliability_rating;exterior_styling_rating;performance_rating;interior_design_rating;marca;modelo;year;nombre_vendedor
5TDXZ3DC2KS015402;Used;29403;Black;Red;39.998;4.4;4.6;45;4.7;4.7;4.6;4.6;4.6;Toyota;Sienna SE;2019;CarMax Murrieta - Now offering Curbside Pickup and Home Delivery
1FTEW1EG2JFD44217;Used;32929;Black;Shadow Black;49.985;4.6;4.8;817;4.9;4.7;4.8;4.8;4.8;Ford;F-150 Lariat;2018;Giant Chevrolet
1C6RR7VT5HS842283;Used;23173;Black;Granite Crystal Clearcoat Metallic;418.600;4.6;4.7;495;4.8;4.7;4.8;4.8;4.7;RAM;1500 Laramie;2017;Gill Auto Group Madera
1HGCV1F49MA038035;Used;10598;Black;Gray;28.500;5;5;36;4.9;5;5;4.9;5;Honda;Accord Sport SE;2021;AutoSavvy Las Vegas
2T2AZMAA8LC156270;Used;28137;Birch;Eminent White Pearl;49.000;4.7;4.8;76;4.9;4.9;4.8;4.8;4.8;Lexus;RX 350;2020;Lexus of Henderson
JTEZU5JR3C5043790;Used;105469;Black;Black;23.541;4.6;4.7;34;4.7;4.9;4.9;4.4;4.6;Toyota;4Runner SR5;2012;AutoNation Toyota Hayward
3CZRU5H32HG703897;Used;10458;Black;Modern Steel Metallic;20.995;4.5;4.6;200;4.6;4.8;4.7;4.4;4.4;Honda;HR-V LX;2017;Downtown Toyota-Subaru of Oakland
WDDHF5KB3EA778099;Used;58157;Saffron;Lunar Blue Metallic;18.985;4.6;4.8;176;4.9;4.8;4.9;4.8;4.8;Mercedes-Benz;E-Class E 350;2014;Downtown Toyota-Subaru of Oakland
5FNYF6H90MB052856;Used;14445;Beige;Platinum White Pearl;44.299;4.7;4.8;63;4.9;4.8;4.7;4.8;4.7;Honda;Pilot Touring 8-Passenger;2021;EchoPark Automotive Phoenix
2C3CDXGJ8LH157532;New;25642;Black;Triple Nickel Clearcoat;46.773;4.7;4.8;56;4.9;4.9;4.9;4.9;4.8;Dodge;Charger Scat Pack;2020;Bill Luke Chrysler Jeep Dodge RAM
JTHHE5BC2H5017212;Used;10236;Silver;Infrared;42.734;4.6;4.8;14;4.6;4.9;5;4.7;4.9;Lexus;RC 350 Base;2017;Chapman BMW on Camelback
JTHBE1BL3D5024808;Used;48605;Black;Gray;16.990;4.5;4.7;81;4.8;4.9;4.7;4.7;4.8;Lexus;GS 350 Base;2013;Expo Auto Sales LLC
2T2ZZMCA8HC086311;Used;47729;Gray;Nightfall Mica;36.450;4.5;4.7;261;4.8;4.8;4.7;4.6;4.7;Lexus;RX 350 RX 350;2017;Goldies Motors
2C3CDXGJ5LH162364;New;31538;Black;White Knuckle Clearcoat;47.500;4.7;4.8;56;4.9;4.9;4.9;4.9;4.8;Dodge;Charger Scat Pack;2020;Tempe Dodge Chrysler Jeep RAM
2C3CDXGJ4LH149735;Used;18717;Black;Octane Red Pearlcoat;41.000;4.7;4.8;56;4.9;4.9;4.9;4.9;4.8;Dodge;Charger Scat Pack;2020;AutoSavvy Gilbert
JTHHE5BC9H5016381;Used;34102;Sport;Silver Lining Metallic;41.493;4.6;4.8;14;4.6;4.9;5;4.7;4.9;Lexus;RC 350 Base;2017;AutoNation Nissan Chandler
1FM5K8D89JGB20589;Used;61294;Black;Red;32.995;4.7;4.8;265;4.9;4.8;4.9;4.8;4.8;Ford;Explorer XLT;2018;Driven Auto Sales
JF2GTAEC0M8340692;Used;11508;Black;Cool-Gray Khaki;25.500;4.8;4.8;78;4.9;4.8;4.8;4.8;4.8;Subaru;Crosstrek Premium;2021;AutoSavvy Lindon
1FM5K8D82JGC77140;Used;81375;Black;Red;33.341;4.7;4.8;265;4.9;4.8;4.9;4.8;4.8;Ford;Explorer XLT;2018;Larry H. Miller Used Car Supermarket Sandy
1FM5K7DH7JGC86801;Used;28357;Ebony Black;Ruby Red Metallic Tinted Clearcoat;30.489;4.7;4.8;265;4.9;4.8;4.9;4.8;4.8;Ford;Explorer XLT;2018;EchoPark Automotive Salt Lake City Delivery Center
1FM5K8D81JGC67795;Used;33188;Ebony Black;Shadow Black;32.489;4.7;4.8;265;4.9;4.8;4.9;4.8;4.8;Ford;Explorer XLT;2018;EchoPark Automotive Salt Lake City Delivery Center
5J8TC2H60ML034891;Used;5188;Red;Majestic Black Pearl;37.000;4.6;4.8;42;4.9;4.8;4.9;4.7;4.9;Acura;RDX A-Spec;2021;TJ Chapman Auto LLC
5J8TC2H65ML044042;Used;12878;Red;Apex Blue Pearl;38.000;4.6;4.8;42;4.9;4.8;4.9;4.7;4.9;Acura;RDX A-Spec;2021;TJ Chapman Auto LLC
1FM5K8D84JGB62068;Used;47661;Ebony Black;Magnetic;31.672;4.7;4.8;265;4.9;4.8;4.9;4.8;4.8;Ford;Explorer XLT;2018;Hertz Cars Sales Layton
JF2SKALC4MH401994;Used;10859;Gray;Ice Silver Metallic;29.500;4.8;4.9;109;4.9;4.9;4.8;4.9;4.9;Subaru;Forester Sport;2021;AutoSavvy Boise
JF2GTADC9JH323841;Used;30849;Black;Venetian Red Pearl;31.995;4.8;4.8;343;4.8;4.9;4.9;4.6;4.8;Subaru;Crosstrek 2.0i Premium;2018;Jennifer's Auto Sales & Service
JF2GTADC4JH245601;Used;86759;Black;Venetian Red Pearl;24.561;4.8;4.8;343;4.8;4.9;4.9;4.6;4.8;Subaru;Crosstrek 2.0i Premium;2018;AutoNation Audi Volkswagen Spokane
JF2GTADC9JH280909;Used;61053;Black;Crystal White Pearl;24.921;4.8;4.8;343;4.8;4.9;4.9;4.6;4.8;Subaru;Crosstrek 2.0i Premium;2018;NW Group Auto Sales
WBA4B3C58GG344713;Used;65219;Coral Red / Black;White;30.995;4.4;4.8;16;4.6;5;5;4.9;4.9;BMW;435 Gran Coupe i xDrive;2016;Painless Autos
WBA4B3C57GG527875;Used;63055;Black;Gray;30.995;4.4;4.8;16;4.6;5;5;4.9;4.9;BMW;435 Gran Coupe i xDrive;2016;Painless Autos
5FNRL6H79KB016821;Used;64571;Gray;Modern Steel Metallic;38.347;4.3;4.6;133;4.8;4.5;4.7;4.5;4.6;Honda;Odyssey EX-L;2019;Norm Reeves Honda Superstore North Richland Hills
5FNRL5H66GB090450;Used;56000;Beige;Gray;28.999;4.6;4.7;100;4.8;4.8;4.7;4.7;4.6;Honda;Odyssey EX-L;2016;Darshan
W1N0G8DB5LF861075;Used;34768;Black;Black;43.451;4.7;4.8;35;4.9;4.7;4.9;4.7;4.9;Mercedes-Benz;GLC 300 Base;2020;Hendrick Volkswagen Frisco
WA1ANAFY5K2100119;Used;26012;Black;Florett Silver Metallic;37.300;4.5;4.7;42;4.8;4.7;4.7;4.7;4.6;Audi;Q5 2.0T Premium;2019;John Eagle Honda of Dallas
WBA3V7C51EP770606;Used;48531;Black;Glacier Silver Metallic;27.741;4.5;4.8;61;4.7;4.7;4.9;4.9;4.7;BMW;428 i;2014;Accelerate Auto Group
LYV102RK0KB289195;Used;10969;Black;Denim Blue;40.782;4.8;4.9;82;5;4.9;4.9;4.9;4.9;Volvo;XC60 T5 Momentum;2019;Gorges Volvo Cars
5FNRL6H71KB114385;Used;32201;Mocha;Crystal Black Pearl;38.900;4.3;4.6;133;4.8;4.5;4.7;4.5;4.6;Honda;Odyssey EX-L;2019;Honda of Olathe
3LN6L5A98KR601862;Used;34686;Ebony;Magnetic Gray Metallic;30.691;4.9;4.9;32;5;5;4.9;4.9;4.9;Lincoln;MKZ Standard;2019;West Point Lincoln
4S4WMARD3L3445339;Used;47226;Java Brown;Crystal White Pearl;31.754;4.7;4.8;83;4.8;4.8;4.9;4.8;4.8;Subaru;Ascent Touring 7-Passenger;2020;RAVMOTORS of Crystal
SALVP2BG1HH214962;Used;39855;Beige;Gray;34.555;4;4.3;42;4.4;4;4.7;4.2;4.6;Land;Rover Range Rover Evoque SE Premium;2017;Jason
5J8YE1H06NL004768;New;12531;Ebony;Performance Red Pearl;58.995;4.9;4.9;16;4.9;4.9;4.9;4.9;4.8;Acura;MDX A-Spec;2022;Frank Leta Acura
5FNYF5H53NB008763;Used;15118;Gray;Silver Metallic;41.535;5;5;1;5;5;5;5;5;Honda;Pilot EX-L;2022;Banner Ford
2G1105S31K9161628;Used;49372;Black;Black;26.998;4.7;4.7;61;4.8;4.8;4.7;4.8;4.8;Chevrolet;Impala Premier 2LZ;2019;Kunes Chevrolet Cadillac of Delavan
JN1CV6AR5DM756312;Used;66560;Black;Gray;17.300;4.7;4.7;131;4.6;4.8;4.7;4.8;4.5;INFINITI;G37 x;2013;stan
SHHFK7H54HU218886;Used;35257;Black / Gray;Modern Steel Metallic;22.004;4.8;4.8;743;4.7;4.8;4.8;4.8;4.7;Honda;Civic EX;2017;Toyota of Lincoln Park
5YJSA1E17HF196111;Used;84000;White;Silver;47.000;4.1;4.6;37;4.7;4.5;4.7;4.9;4.4;Tesla;Model S 75;2017;Kenny
5FNYF6H29MB101863;New;10563;Gray;Steel Sapphire Metallic;43.296;4.7;4.8;63;4.9;4.8;4.7;4.8;4.7;Honda;Pilot Special Edition;2021;Ed Martin Honda
1C4RJFDJXFC213281;Used;49870;Sepia / Black;Redline 2 Coat Pearl;52.884;4.6;4.8;296;4.9;4.7;4.9;4.8;4.8;Jeep;Grand Cherokee SRT;2015;Preferred Automotive Group State Boulevard
1FMHK7F86BGA15028;Used;117401;Beige;White;12.290;4;4.3;112;4.6;4.1;4.6;4.2;4.5;Ford;Explorer Limited;2011;Furthmiller Motors LLC
WBA2G1C37HV639150;Used;60733;Oyster/Black;Alpine White;33.9;4.5;4.7;20;4.5;4.8;4.8;4.9;4.4;BMW;M240 i;2017;Marietta Auto Sales
YV4102DL4L1571569;Used;36577;Charcoal;Onyx Black Metallic;41.389;4.9;4.9;39;4.9;4.9;4.9;4.9;4.9;Volvo;XC60 T5 Inscription;2020;EchoPark Automotive Knoxville Delivery Center
SHHFK7H51JU419408;Used;32333;Black;Crystal Black Pearl;23.739;4.8;4.8;546;4.7;4.8;4.9;4.8;4.7;Honda;Civic EX;2018;North Coast Auto Mall of Cleveland
WBXJG9C08L5P94224;Used;39879;Black;Alpine White;32.893;4.7;4.8;13;4.7;4.9;4.8;5;4.9;BMW;X1 xDrive28i;2020;North Coast Auto Mall of Bedford
WBXJG9C07L5P88611;Used;50199;Black;Jet Black;30.693;4.7;4.8;13;4.7;4.9;4.8;5;4.9;BMW;X1 xDrive28i;2020;North Coast Auto Mall of Bedford
19UDE2F87KA000944;Used;14940;Red;White;23.995;4.6;4.7;24;4.7;4.6;4.8;4.6;4.6;Acura;ILX Premium & A-SPEC Packages;2019;BBS AUTO SALES
2C3CCABG7MH554324;Used;19229;Black;Gloss Black;30.000;5;5;3;5;5;5;5;5;Chrysler;300 S;2021;Auto Boutique
SALWV2FV0HA134046;Used;55000;Red;White;53.000;4.6;4.8;38;4.9;4.7;4.9;4.9;4.8;Land;Rover Range Rover Sport 3.0L Supercharged HSE Dynamic;2017;Owais
WBAHF3C57KWW34090;Used;23504;Ivory White;Metallic;46.5;5;5;2;5;5;5;5;5;BMW;Z4 sDrive30i;2019;BMW of Sterling
SHHFK7H40KU411065;Used;30509;Black;White Orchid Pearl;-1;4.8;4.9;275;4.8;4.9;4.9;4.9;4.8;Honda;Civic Sport;2019;Sterling Motorsport
SALGS2EF3GA304115;Used;54449;Ebony / Ebony;Santorini Black;58.000;4.5;4.8;29;5;4.7;4.9;5;4.9;Land;Rover Range Rover;2016;Alpha Motorsports Fredericksburg
1FTFW1EF6BFB22132;Used;110111;Black;Red;74.000;4.4;4.5;262;4.7;4.5;4.6;4.5;4.5;Ford;F-150 Lariat;2011;Car Legends
JM3KFADMXJ1369395;Used;66601;Black;Jet Black Mica;78.000;4.8;4.8;270;4.8;4.8;4.8;4.7;4.8;Mazda;CX-5 Grand Touring;2018;DARCARS Pre-Owned Fairfax
KNDPM3AC8J7352409;Used;79336;Black;Black Cherry;42.000;4.8;4.8;356;4.9;4.9;4.9;4.8;4.9;Kia;Sportage LX;2018;Koons Kia
WVGUV7AX9HK017771;Used;87957;Charcoal Black;Reflex Silver Metallic;53.000;4.7;4.8;94;4.8;4.8;4.7;4.8;4.7;Volkswagen;Tiguan Sport;2017;Faulkner Subaru of Mechanicsburg
2C3CCABT6HH596941;Used;27054;Linen;Granite Crystal Clearcoat Metallic;31.000;4.6;4.7;68;4.8;4.7;4.7;4.8;4.7;Chrysler;300 S;2017;Keller Bros. Pre-Owned
5YJXCAE47LF229238;Used;29918;White;White;31.000;3.8;4.2;5;4.2;4.4;4.2;4.8;4;Tesla;Model X Performance;2020;Joey
4S3GTAD61K3727773;Used;67792;Black;Ice Silver Metallic;54.000;4.5;4.6;90;4.7;4.6;4.6;4.4;4.6;Subaru;Impreza 2.0i Premium;2019;AE of Miami
1C4PJMLB9KD402160;Used;21870;Black;Diamond Black;34.000;4.5;4.6;568;4.8;4.6;4.7;4.5;4.7;Jeep;Cherokee Latitude Plus;2019;MotorWorld Pre-Owned
1C4PJLLB4KD316538;Used;74832;Black;Granite Crystal Metallic Clearcoat;68.000;4.5;4.6;568;4.8;4.6;4.7;4.5;4.7;Jeep;Cherokee Latitude Plus;2019;Lehighton Ford
WBA8A3C55JA505632;Used;55001;Charcoal;Black Sapphire;31.000;4.8;4.9;50;4.9;5;4.8;4.9;4.8;BMW;320 i xDrive;2018;CarShop Glen Mills
WP1AA2A29GKA37624;Used;37979;Black;Black;38.000;4.5;4.8;39;4.9;4.9;4.9;4.9;4.8;Porsche;Cayenne Base;2016;CarMax King of Prussia - Now offering Curbside Pickup
KNMAT2MV5GP675373;Used;60122;Charcoal;Pearl White;20.000;4.4;4.5;317;4.6;4.6;4.6;4.4;4.5;Nissan;Rogue SV;2016;CarShop Hatfield
WDDHF8JB1EA775902;Used;92378;Black;Black;40.000;4.6;4.8;176;4.9;4.8;4.9;4.8;4.8;Mercedes-Benz;E-Class E 350 4MATIC;2014;CG Luxury Autos
5UXZV4C51CL989967;Used;75012;Brown;Black;43.000;4.2;4.5;87;4.6;4.1;4.7;4.7;4.7;BMW;X5 xDrive35i Premium;2012;Prestige Imports Auto Sales
5NMS3CADXLH233522;Used;42185;Black;Portofino Gray;29.000;4.8;4.8;202;4.9;4.9;4.9;4.7;4.8;Hyundai;Santa Fe SEL 2.4;2020;DCH Brunswick Toyota
5NMS3CAD1LH177728;Used;27088;Black / Beige;Machine Gray;23.000;4.8;4.8;202;4.9;4.9;4.9;4.7;4.8;Hyundai;Santa Fe SEL 2.4;2020;Sansone Rt 1 Auto Mall
WDDZF8KB9KA505055;New;15113;Brown;Gray Metallic;43.000;4.5;5;2;5;5;5;5;5;Mercedes-Benz;AMG E 63 S 4MATIC;2019;Ray Catena Mercedes Benz Freehold
WDDUG8GB9KA444046;Used;18022;Brown;Black;73.000;4.4;4.6;14;5;4.3;4.7;4.4;4.8;Mercedes-Benz;S-Class S 560 4MATIC;2019;DCH Montclair Acura
5NMS3CAD1LH162677;Used;26693;Espresso;Symphony Silver;42.000;4.8;4.8;202;4.9;4.9;4.9;4.7;4.8;Hyundai;Santa Fe SEL 2.4;2020;Lester Glenn Hyundai
5NPD74LF2LH505842;Used;21368;Beige;Quartz White Pearl;70.000;4.7;4.8;134;4.8;4.8;4.8;4.7;4.7;Hyundai;Elantra SE;2020;Axis Motorcars
5UXTY9C05L9B66571;Used;11970;Cognac;Phytonic Blue Metallic;32.000;4.7;4.9;51;5;4.9;4.9;4.9;4.9;BMW;X3 M40i;2020;Automotive Avenues
WVWVA7AU9KW196789;Used;32143;Titan Black;Indium Gray Metallic;25.000;4.5;4.8;16;4.8;4.9;4.6;4.9;4.9;Volkswagen;Golf R 2.0T w/DCC & Navigation;2019;Volkswagen of Nanuet
SALGS2SV6JA511651;Used;84844;Ebony;Santorini Black;64.000;3.2;3.8;10;4;3.1;4.3;3.6;4.2;Land;Rover Range Rover HSE;2018;26 Motors Bronx
WDDUG8GB3KA462123;Used;35652;White;Black;8.000;4.4;4.6;14;5;4.3;4.7;4.4;4.8;Mercedes-Benz;S-Class S 560 4MATIC;2019;Auto Expo Ent Inc
WBA4J3C5XJBL03524;Used;39474;Coral Red / Black;Gray;24.000;4.8;4.9;24;5;5;4.9;4.9;4.9;BMW;430 Gran Coupe i xDrive;2018;Imotobank
WBA4J3C59JBG95575;Used;42899;Golden Brown;Gray;45.000;4.8;4.9;24;5;5;4.9;4.9;4.9;BMW;430 Gran Coupe i xDrive;2018;Imotobank
4JGDF6EE5KB221930;Used;33427;Ginger;Polar White;38.000;4.7;5;10;5;4.9;5;5;5;Mercedes-Benz;GLS 450 4MATIC;2019;BMW of Norwood
WBA4J3C51JBG96574;Used;45266;Golden Brown;Blue;38.000;4.8;4.9;24;5;5;4.9;4.9;4.9;BMW;430 Gran Coupe i xDrive;2018;Boston Foreign Motor
JTHCL5EF6B5009594;Used;130602;Black;Black;219.000;5;5;26;5;5;4.9;4.9;4.9;Lexus;LS 460 Base;2011;xDrive Motors Inc.
W1N4M4GB0LW026774;Used;11140;Black;Midnight Black;28.000;4;4.1;32;4.6;3.3;4.5;4.1;4.7;Mercedes-Benz;GLB 250 Base;2020;Mercedes-Benz & Chevrolet in San Luis Obispo
4T1G11AK8MU410766;Used;27521;Black;Black;44.000;4.8;4.8;69;4.8;4.9;4.9;4.8;4.8;Toyota;Camry SE;2021;CarMax Pleasanton - Now offering Curbside Pickup and Home Delivery
2FMPK4AP9JBC56175;New;23046;Ebony;White Platinum Metallic Tri-Coat;35.000;4.6;4.8;232;4.9;4.8;4.8;4.8;4.8;Ford;Edge Sport;2018;James Ford
JF2GTAEC7KH274123;Used;27911;Gray;Quartz Blue Pearl;42.000;4.7;4.7;205;4.7;4.8;4.8;4.6;4.7;Subaru;Crosstrek 2.0i Premium;2019;CarMax Phoenix-West Valley - Now offering Curbside Pickup
2C3CDXGJ8LH207961;New;24858;Black;Frostbite;39.000;4.7;4.8;56;4.9;4.9;4.9;4.9;4.8;Dodge;Charger Scat Pack;2020;AutoNation Chrysler Dodge Jeep Ram and FIAT North Phoenix
2C3CDXGJ8LH244217;Used;21863;Caramel / Black;White Knuckle Clearcoat;28.000;4.7;4.8;56;4.9;4.9;4.9;4.9;4.8;Dodge;Charger Scat Pack;2020;AutoSavvy Gilbert
JF2GTAEC0MH310771;Used;7572;Black;Yellow Pearl;62.000;4.8;4.8;78;4.9;4.8;4.8;4.8;4.8;Subaru;Crosstrek Premium;2021;Prestman Auto
JF2GTADC1J8283481;Used;8832;Black;Ice Silver Metallic;46.000;4.8;4.8;343;4.8;4.9;4.9;4.6;4.8;Subaru;Crosstrek 2.0i Premium;2018;CarMax Salem - Now offering Curbside Pickup
JF2GTADCXJ8259602;Used;70778;Black;Dark Gray Metallic;28.000;4.8;4.8;343;4.8;4.9;4.9;4.6;4.8;Subaru;Crosstrek 2.0i Premium;2018;Dick Hannah Subaru
JTEKU5JR7M5854429;New;20606;Redwood;Midnight Black Metallic;32.000;4.9;4.9;42;5;4.9;4.9;4.8;4.9;Toyota;4Runner Limited;2021;Stevinson Toyota West
1FTEW1CF1GKD15379;Used;135228;Black;Black;255.000;4.4;4.6;391;4.7;4.6;4.7;4.7;4.6;Ford;F-150;2016;AutoMax Hyundai Norman
WA1ANAFY6K2067955;Used;36644;Black;Manhattan Gray Metallic;30.000;4.5;4.7;42;4.8;4.7;4.7;4.7;4.6;Audi;Q5 2.0T Premium;2019;Audi Grapevine
WA1ANAFY2K2111482;Used;21349;Black;Brilliant Black;35.000;4.5;4.7;42;4.8;4.7;4.7;4.7;4.6;Audi;Q5 2.0T Premium;2019;Frisco Chrysler Dodge Jeep Ram
WAULFAFR0CA004388;Used;116693;Black;Phantom Black Pearl;73.000;4.5;4.7;28;4.7;4.6;4.9;4.5;4.7;Audi;A5 2.0T Premium;2012;Auto Merchants Inc.
JTHHP5BC3F5001009;Used;29597;Black;Gray;17.000;4.8;4.9;15;4.7;5;4.9;5;4.7;Lexus;RC F Base;2015;TRED (Private Seller Dallas)
2C3CDZBT9MH571117;Used;18752;Gray;Burgundy;41.000;4.8;4.9;24;4.9;4.8;5;4.9;4.8;Dodge;Challenger R/T;2021;International Auto Sales
JM3KE4DY2G0845581;Used;57000;Black;Jet Black Mica;27.000;4.7;4.7;308;4.6;4.7;4.8;4.7;4.6;Mazda;CX-5 Grand Touring;2016;Big O Auto LLC
1HGCR3F81FA023860;Used;92614;Black;Black;71.000;4.7;4.7;310;4.7;4.8;4.7;4.7;4.6;Honda;Accord EX-L;2015;CarMax North Houston - Now offering Curbside Pickup and Home Delivery
1G1FH1R79H0164103;Used;78378;Adrenaline Red;Gray;47.000;4.7;4.8;264;4.6;4.8;4.9;4.9;4.6;Chevrolet;Camaro 2SS;2017;Houston Auto World
JN8AT2MV3HW013092;Used;47061;Gray;Caspian Blue;46.000;4.7;4.7;547;4.7;4.7;4.8;4.6;4.7;Nissan;Rogue S;2017;RAVMOTORS
5TDKZRFH5KS564775;Used;27027;Almond;White;38.000;4.5;4.6;363;4.8;4.6;4.7;4.6;4.7;Toyota;Highlander SE;2019;Heartland Chrysler Dodge Jeep Ram - Arkansas
1G1BC5SM3K7126398;Used;29865;Jet Black;Silver Ice Metallic;63.000;4.7;4.8;69;4.8;4.8;4.8;4.7;4.7;Chevrolet;Cruze LS;2019;Weber Chevrolet Creve Coeur
1GNERKKW8JJ142933;Used;56722;Jet Black;Iridescent Pearl Tricoat;45.000;4.5;4.7;266;4.9;4.6;4.8;4.6;4.8;Chevrolet;Traverse Premier;2018;Steve Schmitt of Litchfield
5N1AZ2BJ0LN117866;Used;41010;Graphite;Deep Blue Pearl;29.000;4.7;4.9;76;4.9;4.8;4.9;4.9;4.8;Nissan;Murano SV;2020;EchoPark Automotive New Orleans Delivery Center
WBAJE7C54KWD55369;Used;26042;Black;Dark Graphite Metallic;39.000;4.6;4.9;17;4.9;4.8;5;5;4.9;BMW;540 i xDrive;2019;Perillo Downers Grove
1V2TR2CA8MC509565;Used;10640;Titan Black / Quarzit;Aurora Red Metallic;69.000;4.9;4.8;42;4.9;4.9;4.9;4.8;4.7;Volkswagen;Atlas 3.6L SEL Premium;2021;The Autobarn Volkswagen of Countryside
1GNSKCKC3FR205772;Used;139597;Cocoa / Dune;White Diamond Tri-Coat;36.000;4.3;4.5;107;4.6;4.4;4.8;4.5;4.7;Chevrolet;Tahoe LTZ;2015;Lynch Buick GMC of West Bend
19XFC2F82LE018716;Used;20164;Black;White;31.000;4.8;4.9;169;4.8;4.9;4.9;4.9;4.8;Honda;Civic Sport;2020;Stars Auto Sales
JN8AT2MV2JW325989;Used;53043;Black;Magnetic Black;27.000;4.6;4.7;415;4.7;4.7;4.8;4.6;4.7;Nissan;Rogue SL;2018;Napleton Nissan
5FNYF6H27MB096565;Used;22250;Gray;Steel Sapphire Metallic;285.000;4.7;4.8;63;4.9;4.8;4.7;4.8;4.7;Honda;Pilot Special Edition;2021;Andy Mohr Honda
KM8J3CA41HU506032;Used;93960;Gray;Molten Silver;32.000;4.7;4.7;623;4.8;4.8;4.8;4.6;4.7;Hyundai;Tucson SE;2017;York Chrysler Dodge Jeep Ram of Plainfield
5FNYF6H27MB096842;Used;15002;Black;Black;37.000;4.7;4.8;63;4.9;4.8;4.7;4.8;4.7;Honda;Pilot Special Edition;2021;Paul Richard GM Center
5GAERBKW8KJ301333;Used;26135;Shale;Summit White;17.000;4.4;4.6;63;4.7;4.6;4.7;4.5;4.7;Buick;Enclave Essence;2019;Jeff Wyler Honda of Colerain
5GAERBKW6KJ306594;Used;17542;Dark Galvanized;Ebony Twilight Metallic;76.000;4.4;4.6;63;4.7;4.6;4.7;4.5;4.7;Buick;Enclave Essence;2019;Performance Toyota
1C4BJWDGXFL507897;Used;113580;Black;Firecracker Red;28.000;4.5;4.6;138;4.4;4.8;4.8;4.6;4.5;Jeep;Wrangler Unlimited Sport;2015;John Thornton Buick GMC
5GAERBKW2LJ128894;Used;29500;Dark Galvanized;Satin Steel Metallic;25.000;4.7;4.8;41;4.9;4.8;4.8;4.8;4.7;Buick;Enclave Essence;2020;Knapp Motors
5YMKT6C57J0Y83887;Used;33757;Aragon Brown;Carbon Black Metallic;83.000;4.5;4.8;6;4.7;5;4.7;5;4.8;BMW;X5 M Base;2018;Global Imports BMW
KMUHB4SB1MU051571;Used;26663;Black;Himalayan Gray;60.000;4.8;4.8;19;4.9;4.6;4.8;4.8;4.8;Genesis;GV80 2.5T;2021;Southtowne Hyundai Riverdale
1GNSKPKD0MR360731;Used;24054;Black;Summit White;35.000;4.3;4.5;37;4.6;4.3;4.7;4.4;4.7;Chevrolet;Tahoe Z71;2021;ALM Mall of GA
KMUHBDSB8MU037330;Used;11049;Black;Uyuni White;58.000;4.8;4.8;19;4.9;4.6;4.8;4.8;4.8;Genesis;GV80 2.5T;2021;Mall of Georgia MINI
5FRYD4H84HB038044;Used;63014;Graystone;Gray;40.000;4.5;4.6;133;4.7;4.7;4.8;4.5;4.5;Acura;MDX 3.5L w/Advance Package;2017;Road Runner Auto Sales of Wayne
JTMBK32V875028865;Used;141372;Black;Black;23.000;4.3;4.3;135;4.2;4.4;4.4;4.4;4.2;Toyota;RAV4 Sport;2007;Auto Palace
1GNSKJKC3FR266673;Used;79436;Jet Black;Black;35.000;4.2;4.6;77;4.8;4.6;4.7;4.6;4.6;Chevrolet;Suburban 1500 LT;2015;Northeast Auto Gallery
1FTEW1EP8GFA44769;Used;23349;Black;Ingot Silver Metallic;44.000;4.4;4.6;391;4.7;4.6;4.7;4.7;4.6;Ford;F-150 XLT;2016;Bowser Hyundai Of Chippewa
5J8YD3H53LL008249;Used;15150;Ebony;Modern Steel Metallic;33.000;4.8;4.9;50;4.9;4.9;4.8;4.9;4.9;Acura;MDX 3.5L w/Technology Package;2020;Scott Clark Honda
5TFUW5F14KX852827;Used;30136;Black;Midnight Black Metallic;34.000;4.7;4.8;126;4.9;4.9;4.9;4.9;4.7;Toyota;Tundra SR5;2019;Jim Shorkey Chrysler Dodge Jeep RAM North Huntington
1GYS4FKL7MR190429;Used;28000;Black;Black;58.000;2.2;2.9;19;3.5;2.1;3.8;2.6;4.1;Cadillac;Escalade Sport;2021;CarMax Clearwater - Now offering Curbside Pickup and Home Delivery
2C3CCABT4LH234597;Used;47552;Black;Silver Mist Clearcoat;38.000;4.7;4.8;12;4.7;4.9;4.8;4.8;4.7;Chrysler;300 S;2020;Chrysler Dodge Jeep Ram South Savannah
2C3CCABG4MH549758;Used;26893;Black;Bright White Clearcoat;30.000;5;5;3;5;5;5;5;5;Chrysler;300 S;2021;Auto Boutique
2HGFC4B55JH309561;Used;42836;Black;Gray;32.000;4.8;4.8;546;4.7;4.8;4.9;4.8;4.7;Honda;Civic LX;2018;Auto Boutique
WDDJK7DAXDF020386;Used;45281;Black;Diamond White Metallic;39.000;4.2;4.6;13;4.9;4.4;4.5;4.8;4.8;Mercedes-Benz;SL-Class SL 550;2013;Gettel Hyundai of Charlotte County
5N1DL0MN2LC532783;Used;48522;Graphite;Black Obsidian;35.000;4.6;4.8;39;4.9;4.9;4.8;4.7;4.7;INFINITI;QX60 Pure;2020;Fort Myers Mitsubishi
5UXCR6C52KLL61243;New;17509;Ivory White;Phytonic Blue Metallic;38.000;4.4;4.7;55;5;4.6;4.7;4.9;4.9;BMW;X5 xDrive40i;2019;Leith BMW
5N1DL0MN9LC533140;Used;49926;Graphite;Liquid Platinum;20.000;4.6;4.8;39;4.9;4.9;4.8;4.7;4.7;INFINITI;QX60 Pure;2020;Bonita Springs Mitsubishi
