vin;estado;numero_millas;color_interior;color_exterior;precio_rel;value_for_money_rating_rel;consumer_rating;consumer_reviews;comfort_rating;reliability_rating;exterior_styling_rating;performance_rating;interior_design_rating;marca;modelo;year;nombre_vendedor
3PCAJ5M31KF104293;Used;23322;Graphite;Hermosa Blue;35.998;4.5;4.7;87;4.9;4.7;4.9;4.6;4.8;INFINITI;QX50 ESSENTIAL;2019;CarMax Laurel - Now offering Curbside Pickup
WBA7F2C34HG423307;Used;53871;Brown;White;44.998;4.1;4.6;8;4.9;4.5;4.6;4.8;4.9;BMW;750 i xDrive;2017;CarMax Brandywine - Now offering Curbside Pickup
1HGCV1F44JA118998;Used;19957;Black;Kona Coffee Metallic;27.9;4.7;4.8;652;4.8;4.8;4.8;4.7;4.8;Honda;Accord EX;2018;Heritage Toyota Owings Mills
5UXKR0C30H0V75407;Used;66215;Black;Silver;32.488;4.4;4.7;77;4.8;4.7;4.8;4.7;4.7;BMW;X5 xDrive35i;2017;Auto Leader
SCBFC7ZA1EC087390;Used;11025;Linen;Ghost White 3 Coat Pearlescent;134.664;4.5;4.8;4;4.5;4.7;5;5;4.8;Bentley;Continental GT Speed;2014;Braman Bentley Palm Beach
ZASPAJAN7M7D15507;Used;12596;Black;Lunare White Metallic;41.957;4.8;4.8;8;4.6;5;4.9;5;4.9;Alfa;Romeo Stelvio Base;2021;Rick Case Maserati
1C6RRFBG5MN671271;Used;31106;Black;Maximum Steel Metallic;40.789;4.6;4.8;92;4.9;4.8;4.9;4.8;4.9;RAM;1500 Big Horn;2021;New Holland Auto Group
1G6AP5SX4G0177705;Used;63838;Light Platinum / Jet Black;Black Raven;22.999;4.5;4.6;35;4.6;4.6;4.8;4.7;4.5;Cadillac;CTS 2.0L Turbo Standard;2016;CarVision Nissan
KNDPM3AC7L7814333;Used;20071;Black;Hyper Red;25.999;4.8;4.8;174;4.8;4.9;4.8;4.8;4.8;Kia;Sportage LX;2020;Ambar Motors
2LMPJ8LP7KBL47894;Used;23687;Coffee;Iced Mocha Premium Colorant;44.5;4.4;4.7;97;4.9;4.7;4.9;4.6;4.7;Lincoln;Nautilus Reserve;2019;Haldeman Ford Lincoln
SALYK2EX2LA283460;Used;21501;Light Oyster / Ebony;Eiger Grey;61.989;3.9;4.3;13;4.2;4.2;4.9;4.1;4.5;Land;Rover Range Rover Velar S R-Dynamic;2020;Land Rover Jaguar Main Line
2T2JZMDA7MC258527;Used;14989;Black;Atomic Silver;53.98;4.6;4.8;56;4.8;4.8;4.7;4.8;4.8;Lexus;RX 350 Base;2021;Haldeman Lexus of Princeton
55SWF8EB4KU286908;New;14760;Black;Black;39.556;4.5;4.8;40;4.8;4.7;4.8;4.8;4.8;Mercedes-Benz;C-Class C 300 4MATIC;2019;Mercedes Benz of Atlantic City
WA1LJAF79MD035262;Used;11647;Saiga Beige;Navarra Blue Metallic;59.79;4.3;4.7;12;4.9;4.3;4.9;4.6;4.7;Audi;Q7 45 Premium;2021;Audi Brooklyn
1V2UR2CA4KC555427;Used;18229;Titan Black;Reflex Silver Metallic;35.995;4.5;4.5;132;4.7;4.4;4.7;4.3;4.6;Volkswagen;Atlas 3.6L SE w/Technology;2019;Rockland Motors
WA1ANAFY0J2202992;Used;18245;Atlas Beige / Gray;Ibis White;38.898;4.4;4.7;181;4.7;4.6;4.7;4.7;4.7;Audi;Q5 2.0T Tech Premium;2018;Brooklyn Mitsubishi
1C6SRFJT2LN157389;Used;48614;Black;Diamond Black;45.594;4.6;4.8;201;4.9;4.7;4.8;4.8;4.9;RAM;1500 Laramie;2020;Rockville Centre GMC
2HKRW2H82KH620527;New;36432;Black;Gray;31.392;4.7;4.8;540;4.8;4.8;4.8;4.7;4.8;Honda;CR-V EX-L;2019;Ron Bouchard Honda
1GNSKRKD2MR388154;Used;25168;Black;Black;70.883;4.3;4.5;37;4.6;4.3;4.7;4.4;4.7;Chevrolet;Tahoe RST;2021;Eastside Motoring
KNMAT2MV3KP507515;Used;19989;Charcoal;Gun Metallic;24.487;4.6;4.7;255;4.8;4.7;4.8;4.6;4.8;Nissan;Rogue S;2019;Ira Mazda
5N1DL0MM4LC531626;Used;47121;Black;Liquid Platinum;31.26;4.6;4.8;39;4.9;4.9;4.8;4.7;4.7;INFINITI;QX60 Pure;2020;Hertz Car Sales Lynn
JN8AZ08W06W500253;Used;140748;Black;Glacier Pearl;5.7;4.1;4.3;51;4.6;4;4.5;4.2;4.4;Nissan;Murano S;2006;Blok Charity Auto Clearance
WDDSJ4EB8KN768215;Used;16620;Black;Gray Metallic;32.981;3.9;4.1;17;3.9;4.3;4.5;4.1;4;Mercedes-Benz;CLA 250 Base;2019;Auto Republic Fullerton
WDDSJ4EB2KN774544;Used;27281;Black;Black;29.999;3.9;4.1;17;3.9;4.3;4.5;4.1;4;Mercedes-Benz;CLA 250 Base;2019;California Motors Direct
WDDSJ4EB7KN711990;Used;30689;Black;Polar White;31.998;3.9;4.1;17;3.9;4.3;4.5;4.1;4;Mercedes-Benz;CLA 250 Base;2019;BMW of Las Vegas
55SWF8DB4KU299322;Used;21511;Black;Selenite Gray Metallic;36;4.5;4.8;40;4.8;4.7;4.8;4.8;4.8;Mercedes-Benz;C-Class C 300;2019;Lexus of Henderson
4JGED6EB7KA138392;Used;25460;Black;Black;68.99;4.8;5;10;5;5;5;5;5;Mercedes-Benz;AMG GLE 43 4MATIC Coupe;2019;Mercedes-Benz of Stevens Creek
5UXTR9C58KLR04497;New;16480;Black;Phytonic Blue Metallic;39.94;4.3;4.7;99;4.7;4.6;4.8;4.8;4.7;BMW;X3 xDrive30i;2019;BMW of Fremont
3GKALMEV9LL257600;Used;18753;Jet Black;Satin Steel Metallic;28.019;4.5;4.7;79;4.8;4.6;4.8;4.6;4.7;GMC;Terrain SLE;2020;Concord Chevrolet
4T1K61AK0LU379345;Used;43977;Black;Celestial Silver / Midnight Black Metallic;33.893;4.7;4.8;142;4.7;4.8;4.8;4.7;4.7;Toyota;Camry XSE;2020;AutoNation Toyota Tempe
1G6DS1E34C0139074;Used;60697;Ebony;Black Raven;21.495;4.6;4.7;89;4.7;4.8;4.9;4.6;4.7;Cadillac;CTS Premium;2012;Kuni Lexus of Greenwood Village
JHLRW2H85KX001315;New;39924;Black;Gunmetal Metallic;32.523;4.7;4.8;540;4.8;4.8;4.8;4.7;4.8;Honda;CR-V EX-L;2019;AutoNation Honda 104
JF2GTACC2K8352892;Used;13548;Black;Ice Silver Metallic;29.129;4.7;4.7;205;4.7;4.8;4.8;4.6;4.7;Subaru;Crosstrek 2.0i Premium;2019;Larry H. Miller Nissan Arapahoe
5UXCR6C58KLL63790;New;19913;Black;Jet Black;60.962;4.4;4.7;55;5;4.6;4.7;4.9;4.9;BMW;X5 xDrive40i;2019;BMW of San Antonio
YV4102DL8M1753700;Used;7437;Charcoal;Onyx Black;52.725;4.9;4.9;26;5;4.8;5;4.9;5;Volvo;XC60 T5 Inscription;2021;Volvo Cars of Austin
5XYPG4A50LG641840;Used;49780;Black;Snow White Pearl;29.898;4.6;4.7;76;4.8;4.7;4.8;4.7;4.7;Kia;Sorento S;2020;Clay Cooley Chrysler Dodge Jeep
2T2HZMAA3LC157325;Used;18585;Birch;Black;49.998;4.7;4.8;76;4.9;4.9;4.8;4.8;4.8;Lexus;RX 350 Base;2020;South Austin Nissan
3PCAJ5M14KF124360;New;40030;Graphite;Hermosa Blue;36.5;4.5;4.7;87;4.9;4.7;4.9;4.6;4.8;INFINITI;QX50 ESSENTIAL;2019;Crest Auto Group
WBA7U2C06LGJ59866;New;22441;Cognac;Jet Black;80.997;5;5;3;5;5;5;5;5;BMW;750 i xDrive;2020;Sewell BMW MINI of Plano
1GKS2DKL2MR312375;Used;10959;Dark Walnut;White Frost Tri-Coat;87.887;3.4;4;24;4.3;3.5;4.7;4.2;4.5;GMC;Yukon Denali;2021;Sewell BMW MINI of Plano
2FMPK4AP3KBB87503;New;48775;Ebony;Ford Performance Blue Metallic;34.991;4.6;4.7;193;4.8;4.7;4.8;4.7;4.7;Ford;Edge ST;2019;Rockwall Ford
1GKS2CKJ7KR113666;Used;49558;Jet Black;White Frost;60.998;4.6;4.7;19;4.7;4.7;4.7;4.7;4.7;GMC;Yukon Denali;2019;Sharp Automotive
4T1B11HK1JU634442;Used;42615;Ash;Galactic Aqua;28;4.6;4.7;781;4.7;4.8;4.8;4.6;4.6;Toyota;Camry SE;2018;Lake Chevrolet
4S4BSANC8K3383159;Used;48395;Ivory;Wilderness Green Metallic;28.941;4.7;4.7;262;4.8;4.7;4.7;4.7;4.7;Subaru;Outback 2.5i Limited;2019;AutoNation Toyota Gulf Freeway
5UXCW2C00L9A02173;Used;33042;Black;White Metallic;75.596;4.7;4.9;22;5;4.9;4.9;5;5;BMW;X7 xDrive40i;2020;Reliable Toyota Lexus BMW Audi
2LMPJ8L94KBL12358;Used;25560;Cappuccino;Iced Mocha Premium Colorant;42.576;4.4;4.7;97;4.9;4.7;4.9;4.6;4.7;Lincoln;Nautilus Reserve;2019;Joe Machens Ford Lincoln
JTHCK262195032207;Used;98000;Ecru;Smoky Granite Mica;14.995;4.6;4.7;36;4.4;4.8;4.8;4.7;4.6;Lexus;IS 250;2009;Keewaydin Auto
